ModemManager-glib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModemManager-glib-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModemManager-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModemManager-vala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-config-server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-libnm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-libnm-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-libreswan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-libreswan-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-libreswan-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-libreswan-gnome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-ovs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-ppp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-wifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetworkManager-wwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBit2-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBit2-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORBit2-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenEXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenEXR-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenEXR-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenEXR-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenEXR-libs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenIPMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenIPMI-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenIPMI-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenIPMI-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenIPMI-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenIPMI-perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGTL-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PackageKit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PackageKit-command-not-found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PackageKit-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PackageKit-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PackageKit-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PackageKit-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyPAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyPAM-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyPAM-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyPAM-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyQt4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyQt4-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyQt4-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyQt4-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
